code,name,water_g,energy_kcal,protein_g,fat_g,carb_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitc_mg,bdd_pct,state,group
DR134,"Petai, segar",77.2,92,5.4,1.1,15.2,2.0,1.1,14,170,1.6,55,221.0,0.20,0.8,,114,,0.80,0.10,6.1,34,36,Tunggal,Sayur
DR135,"Peterseli, segar",83.9,53,3.7,1.0,9.0,,2.4,193,84,4.3,18,1125.6,0.20,1.4,,2940,8230,0.11,0.29,0.7,193,95,Tunggal,Sayur
DR136,"Pucuk lumai/daun leunca, segar",91.0,33,4.5,0.4,2.8,,1.3,13,75,2.9,2,,0.20,0.6,,,,0.50,0.10,,41,70,Tunggal,Sayur
DR137,"Putri malu, segar",80.2,76,3.6,0.3,14.6,7.1,1.3,119,84,3.3,1,631.0,0.60,1.4,,4762,,0.60,0.60,,6,,Tunggal,Sayur
DR138,"Rebung, segar",93.3,25,0.8,0.1,5.3,9.7,0.5,3,5,0.5,3,206.0,0.10,0.4,,10,,0.20,0.07,0.5,,28,Tunggal,Sayur
DR139,"Rimbang, segar",80.8,75,1.6,0.6,15.8,10.0,1.2,55,97,0.6,20,234.0,0.40,0.4,,51,,0.40,0.10,1.3,38,95,Tunggal,Sayur
DR140,Rumput laut,87.0,41,1.4,0.3,8.1,2.2,3.2,80,20,1.6,250,380.0,0.20,0.4,,1958,,0.20,,0.1,7,100,Tunggal,Sayur
DR141,"Sawi, segar",92.2,28,2.3,0.3,4.0,2.5,1.2,220,38,2.9,22,436.5,0.12,0.2,,2042,6460,0.09,0.23,0.7,102,87,Tunggal,Sayur
DR142,"Sawi putih / pecai, segar",96.6,9,1.0,0.1,1.7,0.8,0.6,56,42,1.1,5,193.1,0.05,0.1,,862,832,0.05,0.18,0.4,3,79,Tunggal,Sayur
DR143,"Sawi taiwan, segar",91.8,30,1.9,0.5,4.4,2.7,1.4,100,58,1.6,27,217.0,0.10,0.7,,1340,,0.20,0.10,0.6,33,85,Tunggal,Sayur
DR144,"Sawi tanah, segar",94.9,19,1.3,0.2,2.9,2.2,1.0,92,45,1.2,17,145.0,0.10,0.4,,815,,0.20,0.10,0.1,36,85,Tunggal,Sayur
DR145,"Selada, segar",94.8,18,1.2,0.2,2.9,1.8,0.9,22,25,0.5,19,186.4,0.03,0.2,,1526,540,0.04,0.13,0.4,8,69,Tunggal,Sayur
DR146,"Selada air, segar",93.3,17,3.1,0.2,2.2,0.7,1.2,95,152,2.4,65,260.7,0.11,0.2,,1230,3727,0.09,0.14,0.7,56,70,Tunggal,Sayur
DR147,"Seledri, segar",93.0,23,1.0,0.1,4.6,2.0,1.3,50,40,1.0,64,258.8,0.08,0.4,,63,130,0.03,0.07,0.4,11,63,Tunggal,Sayur
DR148,"Taoge, segar",90.4,34,3.7,1.2,4.3,1.1,0.4,166,74,0.8,19,93.3,0.16,0.4,,41,20,0.09,,1.1,5,100,Tunggal,Sayur
DR149,"Taoge kacang kedelai, segar",81.0,76,9.0,2.6,6.4,0.7,1.0,50,65,1.0,5,212.4,0.26,0.7,,,110,0.23,0.19,1.2,15,100,Tunggal,Sayur
DR150,"Taoge kacang tunggak, segar",88.0,40,5.0,0.2,5.8,2.6,1.0,57,88,1.0,2,226.8,0.07,0.5,,299,,0.07,0.08,0.8,15,90,Tunggal,Sayur
DR151,"Tebu terubuk (lilin), segar",91.0,30,4.6,0.4,3.0,0.8,1.0,40,80,2.0,699,,0.20,1.1,,12,,0.08,0.20,1.2,50,20,Tunggal,Sayur
DR152,"Tekokak, segar",89.0,34,2.0,0.1,7.9,4.9,1.0,50,30,2.0,3,333.3,0.12,0.2,,23,750,0.08,0.05,0.9,8,95,Tunggal,Sayur
DR153,"Tekokak, kering",12.3,302,8.3,1.7,72.6,21.2,8.1,370,180,22.2,9,,1044.20,1.0,,187,750,0.40,0.17,5.1,,100,Tunggal,Sayur
DR154,"Terong, segar",92.7,28,1.1,0.2,5.5,2.1,0.5,15,37,0.4,9,187.0,0.10,0.1,,46,30,0.04,0.03,0.5,5,100,Tunggal,Sayur
DR155,"Terong asam, segar",90.5,37,2.0,0.4,6.3,3.2,0.8,13,59,1.5,3,155.0,0.30,0.3,,97,,0.20,0.10,0.8,4,,Tunggal,Sayur
DR156,"Terung belanda, segar",87.3,52,2.1,1.1,8.6,1.4,1.0,16,40,1.1,,,,,,,8048,0.42,0.06,,12,100,Tunggal,Sayur
DR157,"Terung bengkulu, segar",86.6,52,1.1,0.4,11.2,3.2,0.8,19,39,1.1,14,,0.16,1.0,,85,600,0.23,0.04,0.0,6,100,Tunggal,Sayur
DR158,"Terong hintalo, segar",89.2,45,1.9,0.8,7.5,5.1,0.6,19,268,1.0,167,142.0,0.60,0.2,,552,,0.20,0.40,,4,,Tunggal,Sayur
DR159,Terung panjang,91.8,25,2.1,0.1,5.3,0.5,0.7,38,24,0.7,9,53.7,0.09,0.2,,83,24,0.15,0.06,0.7,8,100,Tunggal,Sayur
DR160,"Tomat, air (sari), segar",94.0,20,1.0,0.2,3.5,0.4,1.3,7,15,0.4,10,225.2,0.06,0.1,,266,600,0.05,0.03,0.7,10,100,Tunggal,Sayur
DR161,"Tomat merah, segar",92.9,24,1.3,0.5,4.7,,0.6,8,77,0.6,10,164.9,0.14,0.2,,575,2083,0.06,0.07,0.4,34,100,Tunggal,Sayur
DR162,"Tomat muda, segar",93.0,24,2.0,0.7,3.3,1.8,2.0,5,27,0.5,10,210.0,0.07,0.2,,384,320,0.07,0.04,0.7,30,95,Tunggal,Sayur
DR163,"Uceng/ bunga melinjo, segar",79.5,82,5.8,1.3,11.7,4.8,1.7,70,266,2.4,,,,,,,58,0.11,0.15,,3,89,Tunggal,Sayur
DR164,"Umbut kelapa, segar",89.3,39,2.0,0.2,7.2,2.5,1.3,57,49,,4,447.0,0.20,1.4,,16,,0.10,0.10,,8,,Tunggal,Sayur
DR165,Umbut rotan,90.5,34,2.4,0.3,5.5,2.2,1.3,89,79,1.3,8,552.0,0.20,1.9,,14,,0.20,,,9,,Tunggal,Sayur
DR166,"Wortel, segar",89.9,36,1.0,0.6,7.9,1.0,0.6,45,74,1.0,70,245.0,0.06,0.3,,3784,7125,0.04,0.04,1.0,18,80,Tunggal,Sayur
EP001,Barongko,66.7,159,3.1,5.8,23.5,,0.7,35,65,1.2,46,78.0,0.30,0.6,,,,,,,8,100,Olahan,Buah
EP002,Dodol nanas,16.1,338,1.5,1.2,80.3,,0.9,,,,,,,,,,1240,0.55,,,,100,Olahan,Buah
EP003,Getuk pisang,63.7,144,1.1,0.4,34.1,0.4,0.7,48,32,1.0,,,,,,,1464,0.34,,,,100,Olahan,Buah
EP004,Keripik lampung,5.0,485,1.7,22.2,69.7,0.6,1.5,43,65,0.8,,,,,,4,7330,0.41,,,,100,Olahan,Buah
EP005,Ledre pisang,3.6,405,4.8,5.1,84.9,0.4,1.6,59,124,2.6,,,,,,,,0.05,,,,100,Olahan,Buah
EP006,Lempog durian,25.2,320,3.5,5.7,63.7,4.9,1.9,190,93,2.5,,,,,,13,,0.18,0.04,,15,100,Olahan,Buah
EP007,Loka anjoro,63.3,163,1.1,4.3,30.0,,1.3,,,,,,,,,,,,,,3,100,Olahan,Buah
EP008,Rica-rica taipa,86.7,49,1.6,0.3,10.0,,1.4,11,48,3.0,426,42.0,0.50,0.5,,,296,0.14,,,,100,Olahan,Buah
EP009,Rujak aceh,78.7,82,0.4,0.3,19.7,2.4,0.9,,,,,,,,,,272,0.10,,,,100,Olahan,Buah
EP010,Sale kesemek,25.0,296,1.1,0.6,71.4,,1.8,,,,,,,,,,,,,,,100,Olahan,Buah
EP011,Sale pisang siam,28.9,281,2.4,0.7,66.1,1.0,2.0,41,64,1.2,,,,,,,,,,,,100,Olahan,Buah
EP012,"Sale pisang, cilacap",27.1,295,2.3,2.1,66.9,1.3,1.7,47,97,2.8,,,,,,10,,0.22,0.03,,42,100,Olahan,Buah
EP013,Sanggara belanda,47.1,242,6.4,7.1,38.2,,1.2,,,,,,,,,,,,,,,100,Olahan,Buah
EP014,Tepung Pisang,13.8,338,2.9,0.4,80.6,5.3,2.1,23,62,4.0,18,734.0,0.10,0.5,,13000,1,0.02,0.02,1.0,2,100,Olahan,Buah
EP015,Tepung Sukun,10.1,353,2.9,0.5,84.4,3.7,2.1,100,85,4.6,9,2008.0,0.10,0.6,,,,0.40,0.02,0.1,3,100,Olahan,Buah
ER001,"Alpukat, segar",84.3,85,0.9,6.5,7.7,,0.6,10,20,0.9,2,278.0,0.20,0.4,,189,180,0.05,0.08,1.0,13,61,Tunggal,Buah
ER002,"Anggur hutan, segar",92.3,30,0.5,0.2,6.8,1.2,0.2,39,12,1.1,,,,,,,1,0.01,,,3,100,Tunggal,Buah
ER003,"Apel malang, segar",85.9,57,0.5,0.4,12.8,0.8,0.3,9,18,0.6,4,175.4,110.16,,,26,2240,0.05,0.03,0.1,5,88,Tunggal,Buah
ER004,"Apel, segar",84.1,58,0.3,0.4,14.9,2.6,0.3,6,10,0.3,2,130.0,124.20,0.3,,30,90,0.04,0.03,0.1,5,88,Tunggal,Buah
ER005,"Arbai, segar",89.9,37,0.8,0.5,8.3,,0.5,28,27,0.8,2,43.0,63.52,18.9,,2,60,0.03,,0.1,60,96,Tunggal,Buah
ER006,"Belimbing, segar",90.0,36,0.4,0.4,8.8,3.3,0.4,4,12,1.1,4,130.0,,0.1,,29,170,0.03,,,35,86,Tunggal,Buah
ER007,"Biwah, segar",87.1,51,0.3,0.1,12.1,0.7,0.5,220,14,0.8,1,258.6,0.04,0.1,,,12256,0.10,0.02,,4,66,Tunggal,Buah
ER008,"Buah atung, segar",92.0,23,0.8,0.2,5.2,,1.8,30,50,4.6,,,,,,,,0.29,,,38,80,Tunggal,Buah
ER009,"Buah kelenting, segar",73.9,110,1.4,2.1,21.4,,1.2,8,102,1.1,2,,0.30,0.9,,,,0.20,0.10,,6,77,Tunggal,Buah
ER010,"Buah kom, segar",33.7,264,4.0,1.1,59.6,9.0,1.7,306,92,0.8,,,,,,,400,0.11,,,9,100,Tunggal,Buah
ER011,"Buah mentega (Bisbul), segar",89.0,39,0.7,0.2,9.7,2.0,0.4,43,17,0.8,1,90.0,0.06,0.1,,141,55,0.02,0.01,0.1,33,50,Tunggal,Buah
ER012,"Buah Naga Merah, segar",85.7,71,1.7,3.1,9.1,3.2,0.4,13,14,0.4,128,128.0,,0.4,,,,0.50,0.30,0.5,1,67,Tunggal,Buah
ER013,"Buah Naga Putih, segar",86.6,56,0.8,1.0,10.9,3.2,0.6,13,27,0.5,231,231.0,,0.4,,,,0.02,0.50,0.9,1,74,Tunggal,Buah
ER014,"Buah negri, segar",85.7,55,1.2,0.1,12.2,5.2,0.8,30,40,0.2,10,,0.10,0.3,,460,,0.33,0.03,0.1,9,48,Tunggal,Buah
ER015,"Buah nona, segar",71.5,101,1.7,0.6,25.2,2.8,1.0,27,20,0.8,5,312.5,325.70,0.1,,49,,0.08,0.16,0.9,22,58,Tunggal,Buah
ER016,"Buah rotan, segar",79.4,78,0.6,0.3,18.2,,1.5,1,7,3.4,7,495.0,0.30,0.7,,,,0.12,,,5,,Tunggal,Buah
ER017,"Buah rukam, segar",71.3,113,0.8,0.3,26.8,7.7,0.8,108,52,1.2,2,219.0,0.30,0.9,,17,,0.06,0.01,,20,100,Tunggal,Buah
ER018,"Buah ruruhi, segar",93.0,29,2.1,0.7,3.6,2.6,0.3,6,7,,36,45.0,,0.1,,7,,0.06,0.01,,10,82,Tunggal,Buah
ER019,"Buah tuppa, segar",82.5,67,0.4,0.2,15.9,,1.0,12,139,0.5,2,,0.20,0.5,,,,0.04,0.01,,5,,Tunggal,Buah
ER020,"Carica papaya, segar",93.4,24,1.9,0.2,3.7,1.0,0.9,51,33,1.8,,,,,,,1000,0.32,0.07,,85,60,Tunggal,Buah
ER021,"Cempedak, segar",67.0,116,3.0,0.4,28.6,3.4,1.0,20,30,1.5,26,243.7,,,,79,200,,,0.5,15,30,Tunggal,Buah
ER022,"Duku, segar",82.0,63,1.0,0.2,16.1,4.3,0.7,18,9,0.9,2,147.5,0.09,0.2,,,,0.05,0.15,1.5,9,64,Tunggal,Buah
ER023,"Durian, segar",65.0,134,2.5,3.0,28.0,3.5,8.0,7,44,1.3,1,601.0,0.12,0.3,,146,175,0.10,0.19,136.5,53,22,Tunggal,Buah
ER024,"Duwet, segar",80.2,80,0.5,0.6,18.2,0.9,0.5,33,138,1.3,16,92.7,191.28,0.3,,329,,0.02,0.01,2.5,130,67,Tunggal,Buah
ER025,"Embacang, segar",72.5,98,1.4,0.2,25.4,1.9,0.5,21,15,0.5,3,250.9,0.13,0.1,,2533,1218,0.03,0.09,0.7,56,65,Tunggal,Buah
ER026,"Encung asam, segar",73.0,122,3.5,4.5,17.5,9.3,1.5,63,69,3.2,,,,,,,2357,0.02,,,,98,Tunggal,Buah
ER027,"Erbis, segar",80.0,70,0.6,,18.9,7.7,0.5,11,50,1.1,21,257.1,0.06,0.1,,549,10,,0.10,1.1,16,33,Tunggal,Buah
ER028,Gandaria masak,80.8,68,0.7,0.1,18.0,2.2,0.4,9,20,1.0,3,129.0,,,,329,1020,0.03,0.07,0.7,111,70,Tunggal,Buah
ER029,"Gatep, segar",52.7,191,4.5,1.5,39.7,13.4,1.6,186,69,3.2,17,403.3,0.69,1.4,,51,,0.05,0.20,1.8,,100,Tunggal,Buah
ER030,"Jambu air, segar",87.0,46,0.6,0.2,11.8,2.1,0.8,8,9,1.1,11,321.2,,0.1,,92,,0.02,0.38,4.6,5,90,Tunggal,Buah
ER031,Jambu biji,86.0,49,0.9,0.3,12.2,2.4,0.6,14,28,1.1,10,52.8,0.02,0.3,,27,25,0.02,0.03,0.8,87,82,Tunggal,Buah
ER032,Jambu biji putih tidak berbiji,82.8,61,0.9,0.3,15.4,4.5,0.6,31,41,0.2,20,103.0,0.04,0.5,,53,18,1.02,0.06,1.3,116,82,Tunggal,Buah
ER033,"Jambu bol, segar",87.1,49,2.3,0.2,9.6,3.5,0.8,8,8,0.3,1,14.0,,,,92,,0.13,0.01,0.5,22,67,Tunggal,Buah
ER034,"Jambu monyet, segar",82.6,64,0.7,0.6,15.8,1.2,0.3,4,13,0.5,12,107.8,,,,1604,25,0.02,,2.0,197,90,Tunggal,Buah
ER035,"Jeruk bali, segar",86.3,48,0.6,0.2,12.4,0.8,0.5,23,27,0.5,21,366.1,171.25,0.1,,33,20,0.04,,0.4,43,62,Tunggal,Buah
ER036,"Jeruk banjar, segar",84.5,61,0.8,0.2,14.1,,0.4,9,13,0.2,3,79.0,0.10,0.1,,9,,0.12,0.03,0.3,31,72,Tunggal,Buah
ER037,Jeruk garut-keprok,87.3,44,0.8,0.3,10.9,1.6,0.7,33,23,0.4,5,518.1,169.30,0.2,,0.3,420,0.07,0.03,0.2,31,71,Tunggal,Buah
ER038,"Jeruk Kalamansi, segar",90.2,39,0.3,0.3,8.9,2.3,0.4,42,85,0.5,82,82.0,0.30,0.1,,1000,0.3,0.02,0.10,,30,100,Tunggal,Buah
ER039,"Jeruk manis, segar",87.2,45,0.9,0.2,11.2,1.4,0.5,33,23,0.4,4,472.1,160.00,0.2,,0.3,190,0.08,0.03,0.2,49,72,Tunggal,Buah
ER040,"Jeruk nipis, segar",88.9,44,0.5,0.2,10.0,0.4,0.4,18,22,0.2,3,108.9,0.06,0.1,,23,4,0.01,0.03,0.2,20,76,Tunggal,Buah
ER041,"Jeruk ragi, segar",87.6,49,0.7,0.2,11.1,0.5,0.4,36,67,0.7,4,457.3,155.00,0.2,,0.3,68,0.03,0.03,0.2,30,59,Tunggal,Buah
ER042,"Kawista, segar",71.8,120,3.5,2.5,20.8,4.6,1.4,190,230,1.6,9,1015.6,308.43,0.4,,99,,0.07,0.07,0.4,3,72,Tunggal,Buah
ER043,"Kedondong masak, segar",88.0,46,1.0,0.1,10.3,2.6,0.6,15,22,2.8,2,216.2,0.03,0.1,,164,233,0.08,0.23,0.3,30,58,Tunggal,Buah
ER044,"Kedondong, segar",87.8,47,0.5,0.2,10.4,2.7,0.6,7,58,0.8,2,,,0.2,,167,,0.07,0.04,0.4,32,58,Tunggal,Buah
ER045,"Kelapa hutan, kering",6.0,623,2.0,52.1,36.5,15.3,3.4,120,280,3.8,100,460.0,1.70,1.9,,,,,,0.2,,,Tunggal,Buah
ER046,"Kelapa muda, daging, segar",83.3,68,1.0,0.9,14.0,,0.8,7,30,1.0,18,564.6,0.14,0.4,,,,0.06,0.02,0.6,4,53,Tunggal,Buah
ER047,"Kemang, segar",86.5,48,1.0,0.2,11.9,1.7,0.4,10,24,0.1,2,88.6,0.04,0.1,,318,6,0.08,0.01,0.3,58,65,Tunggal,Buah
ER048,"Kesemek, segar",78.2,78,0.8,0.4,20.0,0.6,0.6,6,26,0.3,0.3,34.5,0.13,0.1,,109,2710,0.05,,0.1,11,97,Tunggal,Buah
ER049,"Kokosan, segar",85.0,86,1.6,0.2,13.0,1.4,0.2,22,38,1.3,2,118.3,0.08,0.2,,,20,0.04,0.04,1.5,3,64,Tunggal,Buah
ER050,"Kranji, segar",20.1,315,2.1,1.4,73.5,,2.9,160,120,3.7,,,,,,,,0.02,,,,31,Tunggal,Buah
ER051,"Langsat, segar",84.1,56,0.9,0.2,14.3,1.4,0.5,17,24,1.1,1,232.0,0.09,0.2,,,,0.07,,0.8,9,64,Tunggal,Buah
ER052,"Lemon, segar",92.2,34,0.5,0.8,6.2,0.1,0.3,23,20,0.3,31,140.0,0.10,0.2,,,,0.09,0.12,0.3,50,100,Tunggal,Buah
ER053,"Lontar, segar",93.0,27,0.4,0.2,6.0,1.6,0.4,91,243,0.5,,,,,,,,0.03,,,,79,Tunggal,Buah
ER054,"Mangga, segar",86.6,52,0.7,,12.3,1.6,0.2,20,16,1.0,3,140.0,0.33,0.0,,316,,0.03,0.01,0.3,12,65,Tunggal,Buah
ER055,"Mangga benggala, segar",84.4,63,2.4,0.4,12.4,5.8,0.4,9,13,0.2,3,79.0,0.10,0.1,,10,,0.18,0.01,0.4,43,65,Tunggal,Buah
ER056,"Mangga gedung, segar",87.4,44,0.7,0.2,11.2,1.6,0.5,13,10,0.2,2,83.6,0.04,0.1,,113,16400,0.08,0.01,0.3,30,65,Tunggal,Buah
ER057,"Mangga golek, segar",82.2,63,0.5,0.2,16.7,2.3,0.4,14,10,0.7,3,118.1,0.05,0.1,,160,3715,0.08,0.02,0.4,65,65,Tunggal,Buah
ER058,"Mangga harumanis, segar",86.6,46,0.4,0.2,11.9,1.7,0.8,15,9,0.2,2,88.9,0.04,0.1,,120,1200,0.08,0.01,0.3,6,65,Tunggal,Buah
ER059,"Mangga indramayu, segar",80.2,72,0.8,0.2,18.7,2.5,0.1,13,10,1.9,3,131.4,0.06,0.1,,178,2900,0.06,0.02,0.5,16,65,Tunggal,Buah
ER060,"Mangga kopek, segar",84.5,56,0.4,0.2,14.6,2.0,0.3,16,10,1.7,2,102.9,0.04,0.1,,139,6520,0.03,0.01,0.4,27,65,Tunggal,Buah
ER061,"Mangga kwini, segar",78.6,86,0.7,0.5,19.8,6.5,0.4,11,11,0.2,1,16.0,0.10,0.1,,932,,0.15,0.02,0.5,18,65,Tunggal,Buah
ER062,"Mangga manalagi, segar",66.5,133,1.0,0.1,32.1,11.8,0.3,20,23,1.0,70,161.0,,,,4,,0.07,,0.6,61,65,Tunggal,Buah
ER063,"Mangga muda, segar",83.7,59,0.5,0.4,15.1,,0.3,12,11,0.4,2,108.2,0.05,0.1,,146,85,0.06,0.02,0.4,2,73,Tunggal,Buah
ER064,"Manggis, segar",83.0,63,0.6,0.6,15.6,1.5,0.2,8,12,0.8,10,61.9,0.10,0.1,,,,0.03,0.03,0.3,5,29,Tunggal,Buah
ER065,"Markisa, segar",64.7,144,3.5,1.2,29.8,11.4,0.8,27,203,1.4,37,453.8,0.11,0.1,,969,691,0.02,0.17,2.0,10,48,Tunggal,Buah
ER066,"Matoa, segar",76.5,90,1.2,0.1,21.1,0.5,1.1,20,40,0.6,10,190.0,0.30,0.6,,2,,0.18,0.09,0.5,54,40,Tunggal,Buah
ER067,"Melon, segar",90.8,37,0.6,0.4,7.8,1.0,0.5,12,14,0.4,167,167.0,0.30,0.1,,1000,,0.02,0.10,,0.2,58,Tunggal,Buah
ER068,"Menteng, segar",79.0,65,1.7,0.3,16.1,,2.9,13,20,0.8,,,,,,,,,,,,64,Tunggal,Buah
ER069,"Nanas palembang, segar",85.5,58,0.7,0.2,13.3,1.6,0.3,29,15,0.6,7,117.0,0.03,0.1,,17,,0.26,0.03,0.2,11,53,Tunggal,Buah
ER070,"Nanas, segar",88.9,40,0.6,0.3,9.9,0.6,0.3,22,14,0.9,18,111.0,0.03,0.1,,17,90,0.02,0.04,0.2,22,53,Tunggal,Buah
ER071,"Nangka masak pohon, segar",70.0,106,1.2,0.3,27.6,3.7,2.7,20,19,0.9,2,407.0,246.58,1.4,,149,330,0.07,0.10,1.0,7,28,Tunggal,Buah
ER072,"Pala, daging, segar",88.1,42,0.3,0.2,10.9,0.5,0.5,32,24,1.5,,,,,,,29,,,,22,30,Tunggal,Buah
ER073,"Pepaya, segar",86.7,46,0.5,12.0,12.2,1.6,0.6,23,12,1.7,4,221.0,0.02,0.3,,1038,365,0.04,0.06,0.4,78,75,Tunggal,Buah
ER074,"Pisang ambon, segar",72.9,108,1.0,0.8,24.3,1.9,1.0,20,30,0.2,10,,0.20,0.2,,37,,0.05,0.11,0.1,9,75,Tunggal,Buah
ER075,"Pisang angleng (pisang ampyang), segar",80.3,68,1.3,0.2,17.2,0.8,1.0,10,26,0.6,23,215.7,0.04,0.0,,9,76,0.08,0.05,2.5,6,75,Tunggal,Buah
ER076,"Pisang ayam, segar",71.2,120,1.1,0.2,26.8,4.1,0.7,20,61,0.4,6,392.0,0.10,0.3,,24,,0.10,0.02,1.0,26,75,Tunggal,Buah
ER077,"Pisang gapi, segar",66.3,127,2.1,0.3,31.1,11.7,1.0,,40,0.3,40,392.0,,0.3,,16,,0.18,0.02,0.3,13,75,Tunggal,Buah
ER078,"Pisang goroho, segar",69.4,115,1.9,0.2,27.9,4.6,1.0,,30,0.2,36,359.0,,0.3,,15,,0.15,0.02,1.1,10,75,Tunggal,Buah
ER079,"Pisang hijau, segar",68.9,117,2.0,0.3,28.9,0.4,1.1,,37,0.9,31,529.4,0.28,0.6,,48,,0.13,0.06,,13,72,Tunggal,Buah
ER080,"Pisang kayu, segar",74.4,100,1.4,0.5,23.6,2.6,0.6,15,,0.1,1,493.0,0.08,0.3,,3,,0.10,,0.6,11,75,Tunggal,Buah
ER081,"Pisang kepok, segar",71.9,109,0.8,0.5,26.3,5.7,1.0,10,30,0.5,10,300.0,0.10,0.2,,,,0.10,,0.1,9,75,Tunggal,Buah
ER082,"Pisang ketip, segar",63.4,145,1.1,0.3,34.5,6.6,0.7,5,54,0.1,4,726.0,0.15,0.5,,3,,0.13,0.02,0.8,95,75,Tunggal,Buah
ER083,"Pisang kidang, segar",75.4,96,1.0,0.2,22.5,0.6,0.9,87,173,0.6,6,418.8,0.22,0.5,,38,58,0.04,0.10,0.9,2,70,Tunggal,Buah
ER084,"Pisang lampung, segar",72.1,99,1.3,0.2,25.6,4.3,0.8,10,19,0.9,28,475.0,0.25,0.5,,43,618,0.07,0.12,1.0,4,75,Tunggal,Buah
ER085,"Pisang mas bali ampenan, segar",76.8,92,1.4,0.2,21.0,3.7,0.5,7,29,1.2,32,272.0,0.18,0.4,,14,,0.09,0.03,0.6,11,75,Tunggal,Buah
ER086,"Pisang mas bali kopang, segar",64.2,127,1.4,0.2,31.8,3.7,2.4,10,,0.1,43,616.0,0.12,0.4,,21,,0.21,0.05,0.9,17,75,Tunggal,Buah
ER087,"Pisang mas, segar",64.2,127,1.4,0.2,33.6,1.4,0.6,7,25,0.8,42,392.0,195.78,0.5,,17,79,0.09,0.08,4.5,2,85,Tunggal,Buah
ER088,"Pisang raja sereh, segar",69.3,108,1.3,0.3,28.2,0.7,1.0,16,38,0.1,31,522.6,0.27,0.6,,48,480,0.02,0.08,1.1,2,86,Tunggal,Buah
ER089,"Pisang raja, segar",65.8,120,1.2,0.2,31.8,5.3,1.0,10,22,0.8,35,582.2,0.31,0.7,,53,950,0.06,0.14,1.2,10,70,Tunggal,Buah
ER090,"Pisang rotan, segar",76.1,98,1.3,1.2,20.5,1.0,0.9,17,51,1.1,24,406.9,0.21,0.5,,37,697,0.01,0.10,0.9,2,56,Tunggal,Buah
ER091,"Pisang talas, segar",71.0,113,1.2,0.2,26.7,4.4,0.9,22,22,0.6,29,48.0,0.26,0.1,,159,,0.12,0.03,1.0,9,75,Tunggal,Buah
ER092,Pisang tujuh bulan,75.9,94,0.6,0.2,22.5,3.7,0.8,50,20,0.2,,4.0,0.10,0.4,,72,,0.03,0.03,0.3,6,75,Tunggal,Buah
ER093,"Pisang ua, segar",67.8,128,0.8,0.5,30.2,8.1,0.7,12,28,0.7,33,382.0,0.20,0.3,,5,,0.09,0.01,1.2,4,75,Tunggal,Buah
ER094,"Pisang uli, segar",61.8,134,1.1,0.5,35.5,1.4,1.1,31,53,0.9,39,650.3,0.34,0.7,,59,113,0.11,0.16,1.4,3,77,Tunggal,Buah
ER095,"Purut, segar",81.1,76,4.1,1.1,15.2,1.7,1.4,30,76,0.6,10,285.2,,,,27,93,0.01,0.11,,,34,Tunggal,Buah
ER096,"Rambutan binjai, segar",81.0,76,0.5,0.2,18.0,3.8,0.3,15,22,1.2,22,120.0,0.20,0.2,,,,0.19,0.01,0.4,13,40,Tunggal,Buah
ER097,"Rambutan, segar",80.5,69,0.9,0.1,18.1,0.8,0.4,16,16,0.5,16,104.2,0.17,0.1,,,,,0.07,0.5,58,40,Tunggal,Buah
ER098,"Salak bali, segar",85.1,57,0.5,0.1,13.6,1.3,0.7,94,25,2.1,,,0.08,0.2,,48,37,,,,0.4,93,Tunggal,Buah
ER099,"Salak medan, segar",78.1,55,0.4,0.2,12.8,3.2,8.5,6,46,0.5,39,113.0,0.20,0.3,,4,,0.04,0.03,,58,93,Tunggal,Buah
ER100,"Salak pondoh, segar",77.9,87,0.8,0.4,20.1,,0.8,38,31,3.9,,,0.08,0.2,,,40,,0.12,0.1,8,59,Tunggal,Buah
ER101,"Salak, segar",78.0,77,0.4,,20.9,,0.7,28,18,4.2,,,0.08,0.2,,48,,0.04,,,2,93,Tunggal,Buah
ER102,"Sawo duren, segar",87.3,64,1.0,3.1,8.0,0.8,0.6,18,45,0.8,13,111.4,0.02,0.1,,,,0.01,0.02,0.1,1,64,Tunggal,Buah
ER103,"Sawo kecik, segar",73.8,111,0.9,2.3,21.6,1.0,1.4,20,185,0.7,28,117.8,0.04,0.1,,119,12,,0.04,1.5,19,83,Tunggal,Buah
ER104,"Sawo Manila, segar",75.5,92,0.5,1.1,22.4,9.5,0.5,25,12,1.0,26,110.2,0.04,0.1,,111,60,0.01,0.04,1.4,21,79,Tunggal,Buah
ER105,"Semangka, segar",92.1,28,0.5,0.2,6.9,0.4,0.3,7,12,0.2,7,93.8,0.04,0.1,,315,590,0.05,0.05,0.3,6,46,Tunggal,Buah
ER106,"Sirsak, segar",81.7,65,1.0,0.3,16.3,3.2,0.7,14,27,0.6,2,298.9,0.08,1.0,,8,10,0.07,0.08,0.7,20,68,Tunggal,Buah
ER107,"Sowa, segar",87.7,48,1.6,0.6,9.1,45.0,10.0,50,40,0.3,9,,0.10,1.5,,364,,0.15,0.23,0.2,4,,Tunggal,Buah
